table_name,aoi_id,id,vendor_id,entity_id,vendor,platform,pixel_size_x,pixel_size_y,date,publish_date,geometry,sea_state_qual,sea_state_quant,shareable
EE,6,104001004933C100,19MAR09155200-S2AS_R2C2-504979757010_01_P003,WV320190309155200OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.531936 41.942005, -70.531936 41.971228, -70.457562 41.971228, -70.457562 41.942005, -70.531936 41.942005))",,,
EE,6,104001004933C100,19MAR09155201-S2AS_R1C2-504979757010_01_P004,WV320190309155201OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.533616 41.905134, -70.533616 41.979874, -70.456507 41.979874, -70.456507 41.905134, -70.533616 41.905134))",,,
EE,6,104001004933C100,19MAR09155201-S2AS_R2C2-504979757010_01_P004,WV320190309155201OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.531849 41.876993, -70.531849 41.906091, -70.457759 41.906091, -70.457759 41.876993, -70.531849 41.876993))",,,
EE,6,104001004933C100,19MAR09155202-M1BS-503577655010_01_P003,WV320190309155202M00,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2019-10-03,"POLYGON((-70.630278 41.803889, -70.630278 41.952778, -70.458056 41.952778, -70.458056 41.803889, -70.630278 41.803889))",,,
EE,6,104001004933C100,19MAR09155202-P1BS-503577655010_01_P003,WV320190309155202P00,DIGITAL GLOBE,WORLDVIEW-3,0.0,0.0,2019-03-09,2019-10-03,"POLYGON((-70.63 41.803889, -70.63 41.952778, -70.458333 41.952778, -70.458333 41.803889, -70.63 41.803889))",,,
EE,6,104001004933C100,19MAR09155202-S2AS_R1C2-504979757010_01_P005,WV320190309155202OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.533577 41.840108, -70.533577 41.914845, -70.456735 41.914845, -70.456735 41.840108, -70.533577 41.840108))",,,
EE,6,104001004933C100,19MAR09155202-S2AS_R2C2-504979757010_01_P005,WV320190309155202OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.531814 41.812084, -70.531814 41.841059, -70.45808 41.841059, -70.45808 41.812084, -70.531814 41.812084))",,,
EE,6,104001004933C100,19MAR09155203-S2AS_R1C2-504979757010_01_P006,WV320190309155203OR01C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.533469 41.775117, -70.533469 41.84985, -70.457068 41.84985, -70.457068 41.775117, -70.533469 41.775117))",,,
EE,6,104001004933C100,19MAR09155203-S2AS_R2C2-504979757010_01_P006,WV320190309155203OR02C0200,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2021-01-28,"POLYGON((-70.53171 41.747142, -70.53171 41.776064, -70.458329 41.776064, -70.458329 41.747142, -70.53171 41.747142))",,,
EE,6,104001004933C100,19MAR09155204-M1BS-503577655010_01_P004,WV320190309155204M00,DIGITAL GLOBE,WORLDVIEW-3,1.0,1.0,2019-03-09,2019-10-03,"POLYGON((-70.629722 41.693889, -70.629722 41.8425, -70.458611 41.8425, -70.458611 41.693889, -70.629722 41.693889))",,,
